Region,IPM_2023,IPM_2024
Nias,65.15,66.13
Mandailing Natal,72.65,73.44
Tapanuli Selatan,74.58,75.18
Tapanuli Tengah,72.77,73.34
Tapanuli Utara,76.86,77.48
Toba Samosir / Toba,77.83,78.44
Labuhan Batu,74.7,75.2
Asahan,73.59,74.17
Simalungun,75.17,75.88
Dairi,75.18,75.88
Karo,76.88,77.49
Deli Serdang,77.16,77.56
Langkat,74.33,74.85
Nias Selatan,64.98,65.87
Humbang Hasundutan,72.49,73.33
Pakpak Bharat,72.3,73.09
Samosir,72.93,73.77
Serdang Bedagai,73.4,74.15
Batu Bara,72.56,73.14
Padang Lawas Utara,73.45,74.16
Padang Lawas,72.16,73.1
Labuhan Batu Selatan,74.23,75.11
Labuhan Batu Utara,75.45,76.2
Nias Utara,65.44,66.42
Nias Barat,64.68,65.66
Kota Sibolga,77.07,77.52
Kota Tanjung Balai,75.42,75.95
Kota Pematang Siantar,80.46,81.17
Kota Tebing Tinggi,78.17,78.68
Kota Medan,82.61,83.23
Kota Binjai,78.11,78.67
Kota Padangsidimpuan,78.1,78.61
Kota Gunungsitoli,71.55,72.3
