Kabupaten/Kota,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Kerinci,37,93,,0.39,,107.13
Merangin,60,93,4,0.8,,22.76
Sarolangun,63,91,4,0.98,0.09,52.2
Batang Hari,59,88,8,0.32,0.01,93.19
Muaro Jambi,37,85,3,1.65,,33.21
Tanjung Jabung Timur,40,85,2,2.51,,47.7
Tanjung Jabung Barat,57,89,5,3.88,,58.5
Tebo,53,91,2,1.41,0.01,26.46
Bungo,71,87,8,0.79,0.01,40.13
Kota Jambi,85,81,58,1.89,0.02,100.46
Kota Sungai Penuh,113,96,3,,,168.57
