Make,Model,Year,Sales,Predictions
acura,TSX,2013,31998,
acura,TSX,2012,38035,
acura,TSX,2011,30365,
acura,NSX,2007,238,
acura,NSX,2006,415,
acura,NSX,2005,884,
acura,NSX,2004,652,
acura,NSX,2003,1940,
acura,MDX,2013,57281,
acura,MDX,2012,40950,
acura,ZDX,2013,79,
acura,CL,2005,6593,
acura,CL,2004,18993,
acura,CL,2003,20968,
acura,CL,2002,28939,
acura,TL,2013,33620,
acura,TL,2012,58545,
acura,TL,2011,78218,
acura,TL,2010,56770,
acura,TL,2009,69484,
acura,TL,2008,56566,
acura,TL,2007,23151,
acura,TL,2006,16539,
acura,RL,2013,1096,
acura,RL,2012,2043,
acura,RL,2011,6262,
acura,RL,2010,17572,
acura,RL,2009,6829,
acura,RL,2008,10723,
acura,RL,2007,13366,
acura,RL,2006,16004,
acura,RSX,2008,16996,
acura,RSX,2007,21940,
acura,RSX,2006,30117,
acura,Vigor,1996,8469,
acura,Vigor,1995,13846,
acura,Vigor,1994,0,
acura,Legend,1997,18159,
acura,Legend,1996,38866,
acura,Legend,1995,65689,
acura,Legend,1994,64638,
acura,Legend,1993,54713,
acura,SLX,2001,694,
acura,SLX,2000,1299,
acura,SLX,1999,200,
alfa-romeo,Spider,1995,605,
alfa-romeo,Spider,1994,1389,
alfa-romeo,Spider,1993,1857,
alfa-romeo,164,1996,357,
alfa-romeo,164,1995,1721,
alfa-romeo,164,1994,1549,
alfa-romeo,164,1996,357,
alfa-romeo,164,1995,1721,
alfa-romeo,164,1994,1549,
alfa-romeo,Milano,1993,5,
alfa-romeo,Spider,1995,605,
alfa-romeo,Spider,1994,1389,
alfa-romeo,Spider,1993,1857,
alfa-romeo,164,1996,357,
alfa-romeo,164,1995,1721,
alfa-romeo,164,1994,1549,
alfa-romeo,164,1996,357,
alfa-romeo,164,1995,1721,
alfa-romeo,164,1994,1549,
alfa-romeo,Milano,1993,5,
audi,A4,2013,51043,
audi,A4,2012,35739,
audi,A4,2011,32137,
audi,A4,2010,20871,
audi,A4,2009,0,
audi,A6,2013,17585,
audi,A6,2012,26364,
audi,A6,2011,26131,
audi,A6,2010,9946,
audi,A6,2009,3672,
audi,A8,2013,4090,
audi,A8,2012,2300,
audi,A8,2011,2481,
audi,A8,2010,2085,
audi,TT,2013,7880,
audi,TT,2012,12523,
audi,TT,2011,5139,
audi,Allroad-Quattro,2006,4626,
audi,Allroad-Quattro,2005,6007,
audi,Allroad-Quattro,2004,1033,
audi,Allroad-Quattro,2003,1742,
audi,80/90,1996,4174,
audi,80/90,1995,3881,
audi,80/90,1994,7765,
audi,80/90,1993,11773,
audi,Cabriolet,1998,1183,
audi,Cabriolet,1997,1175,
audi,100,1994,10103,
audi,100,1993,9437,
audi,V8.,1995,170,
audi,V8.,1994,527,
audi,V8.,1993,889,
bmw,1-series,2013,13132,
bmw,1-series,2012,12018,
bmw,7-series,2013,20473,
bmw,7-series,2012,13389,
bmw,7-series,2011,18233,
bmw,7-series,2010,18273,
bmw,7-series,2009,15005,
bmw,7-series,2008,9767,
bmw,7-series,2007,5509,
bmw,7-series,2006,10399,
bmw,7-series,2005,10028,
bmw,7-series,2004,9935,
bmw,8-series,2013,0,
bmw,8-series,2012,0,
bmw,8-series,2011,0,
bmw,8-series,2010,616,
bmw,8-series,2009,942,
bmw,8-series,2008,715,
bmw,8-series,2007,1711,
bmw,8-series,2006,0,
bmw,Z4,2013,20169,
bmw,Z4,2012,970,
bmw,X5,2013,40715,
bmw,X5,2012,40622,
bmw,X5,2011,1312,
bmw,Z8,2006,110,
bmw,Z8,2005,524,
bmw,Z8,2004,317,
bmw,Z3,2003,14914,
bmw,Z3,2002,20062,
bmw,Z3,2001,19760,
bmw,Z3,2000,0,
bmw,8-series,2013,0,
bmw,8-series,2012,0,
bmw,8-series,2011,0,
bmw,8-series,2010,616,
bmw,8-series,2009,942,
bmw,8-series,2008,715,
bmw,8-series,2007,1711,
bmw,8-series,2006,0,
buick,Regal,2013,23677,
buick,Regal,2012,49992,
buick,Regal,2011,74016,
buick,Regal,2010,50691,
buick,Century,2007,6504,
buick,Century,2006,94279,
buick,Century,2005,142157,
buick,Century,2004,157035,
buick,Century,2003,91232,
buick,LeSabre,2007,75369,
buick,LeSabre,2006,114572,
buick,LeSabre,2005,145304,
buick,LeSabre,2004,149445,
buick,LeSabre,2003,150744,
buick,Park-Avenue,2007,2175,
buick,Park-Avenue,2006,26820,
buick,Park-Avenue,2005,36454,
buick,Park-Avenue,2004,62868,
buick,Park-Avenue,2003,68777,
buick,Lucerne,2013,20358,
buick,Lucerne,2012,31292,
buick,Lucerne,2011,82923,
buick,Lucerne,2010,8821,
buick,Terraza,2009,5569,
buick,Terraza,2008,20288,
buick,Rendezvous,2009,15295,
buick,Rendezvous,2008,60589,
buick,Rendezvous,2007,72643,
buick,Rendezvous,2006,31754,
buick,Rainier,2009,4819,
buick,Rainier,2008,15271,
buick,Rainier,2007,4797,
cadillac,Escalade,2013,35621,
cadillac,Escalade,2012,31270,
cadillac,Escalade,2011,23897,
cadillac,Escalade-ESV,2013,13502,
cadillac,Escalade-ESV,2012,12866,
cadillac,Escalade-EXT,2013,2423,
cadillac,Escalade-EXT,2012,7967,
cadillac,Escalade-EXT,2011,7766,
cadillac,Escalade-EXT,2010,11256,
cadillac,Escalade-EXT,2009,546,
cadillac,CTS,2013,49392,
cadillac,STS,2013,3338,
cadillac,STS,2012,6037,
cadillac,STS,2011,20873,
cadillac,STS,2010,33497,
cadillac,DTS,2013,11589,
cadillac,DTS,2012,17330,
cadillac,DTS,2011,51469,
cadillac,DTS,2010,23322,
cadillac,Seville-SLS,2006,3386,
cadillac,Seville-SLS,2005,21494,
cadillac,Seville-SLS,2004,29535,
cadillac,Seville-SLS,2003,39009,
cadillac,Seville-SLS,2002,33809,
cadillac,DeVille,2007,38661,
cadillac,DeVille,2006,82076,
cadillac,DeVille,2005,95354,
cadillac,DeVille,2004,90755,
cadillac,DeVille,2003,104743,
cadillac,SRX,2013,22043,
cadillac,SRX,2012,30019,
cadillac,XLR,2011,787,
cadillac,XLR,2010,1750,
cadillac,XLR,2009,3730,
cadillac,XLR,2008,875,
cadillac,Catera,2003,9764,
cadillac,Catera,2002,15068,
cadillac,Catera,2001,25411,
cadillac,Eldorado,2003,9859,
cadillac,Eldorado,2002,15255,
cadillac,Eldorado,2001,20609,
cadillac,Eldorado,2000,23200,
cadillac,Eldorado,1999,22982,
cadillac,Eldorado,1998,15304,
cadillac,Eldorado,1997,30051,
cadillac,Eldorado,1996,21470,
cadillac,Eldorado,1995,58310,
cadillac,Eldorado,1994,71624,
cadillac,Eldorado,1993,54389,
cadillac,Allante,1994,2314,
cadillac,Allante,1993,3407,
chevrolet,Malibu,2013,122771,
chevrolet,Malibu,2012,176583,
chevrolet,Malibu,2011,218540,
chevrolet,Malibu,2010,164654,
chevrolet,Impala,2013,267882,
chevrolet,Impala,2012,208395,
chevrolet,Impala,2011,81247,
chevrolet,Camaro,2013,127,
chevrolet,Camaro,2012,35453,
chevrolet,Camaro,2011,40726,
chevrolet,Camaro,2010,55973,
chevrolet,Corvette,2013,27974,
chevrolet,Corvette,2012,33655,
chevrolet,Corvette,2011,29963,
chevrolet,Corvette,2010,22724,
chevrolet,Blazer,2013,53426,
chevrolet,Blazer,2012,149195,
chevrolet,Blazer,2011,232140,
chevrolet,Blazer,2010,221400,
chevrolet,Blazer,2009,247661,
chevrolet,Blazer,2008,167201,
chevrolet,Blazer,2007,123346,
chevrolet,Blazer,2006,178691,
chevrolet,Blazer,2005,153064,
chevrolet,Tahoe,2013,199065,
chevrolet,Tahoe,2012,202319,
