tgl,ot,lat,lon,depth,mag,remark
2023-01-01,23:59:32.053,-2.53,140.69,10,3.6,Near North Coast of Irian Jaya
2023-01-01,20:14:31.327,2.05,98.89,10,3.2,Northern Sumatra - Indonesia
2023-01-01,19:46:22.614,2.05,98.89,10,3.1,Northern Sumatra - Indonesia
2023-01-01,19:42:48.918,-2.41,140.7,10,3.9,Near North Coast of Irian Jaya
2023-01-01,19:40:26.791,2.05,98.9,10,2.5,Northern Sumatra - Indonesia
2023-01-01,19:36:10.384,-0.23,123.18,32,2.8,Minahassa Peninsula - Sulawesi
2023-01-01,19:34:55.807,-3.26,131.11,16,4.0,Irian Jaya Region - Indonesia
2023-01-01,19:06:55.537,-2.55,140.78,10,3.1,Near North Coast of Irian Jaya
2023-01-01,19:03:05.217,2.2,128.21,139,3.8,Halmahera - Indonesia
2023-01-01,18:51:30.327,-2.5,140.7,10,3.9,Near North Coast of Irian Jaya
2023-01-01,18:50:57.811,3.14,127.81,112,4.1,Talaud Islands - Indonesia
2023-01-01,18:24:30.501,-2.46,140.78,10,5.4,Near North Coast of Irian Jaya
2023-01-01,18:24:30.501,-2.46,140.78,10,5.4,Near North Coast of Irian Jaya
2023-01-01,17:17:23.602,1.08,121.76,12,3.7,Minahassa Peninsula - Sulawesi
2023-01-01,15:55:07.993,2.09,98.87,10,3.8,Northern Sumatra - Indonesia
2023-01-01,15:46:18.141,2.06,98.92,10,2.6,Northern Sumatra - Indonesia
2023-01-01,15:38:14.570,-7.6,106.66,29,3.5,Java - Indonesia
2023-01-01,14:41:05.363,-1.16,120.23,10,3.0,Sulawesi - Indonesia
2023-01-01,14:38:38.919,-2.5,139.76,38,2.9,Near North Coast of Irian Jaya
2023-01-01,14:15:21.112,-9.13,109.56,10,3.3,South of Java - Indonesia
2023-01-01,14:06:12.622,-7.23,106.8,114,3.0,Java - Indonesia
2023-01-01,13:37:51.320,-2.97,128.36,13,3.8,Ceram Sea
2023-01-01,13:13:10.464,2.04,98.87,10,2.6,Northern Sumatra - Indonesia
2023-01-01,13:03:47.808,2.06,98.9,10,2.9,Northern Sumatra - Indonesia
2023-01-01,11:42:09.856,-6.8,107.08,12,1.9,Java - Indonesia
2023-01-01,10:52:39.475,-6.79,107.09,10,3.0,Java - Indonesia
2023-01-01,10:38:08.278,0.14,124.12,76,3.1,Minahassa Peninsula - Sulawesi
2023-01-01,10:17:42.705,2.13,128.3,10,3.7,Halmahera - Indonesia
2023-01-01,09:24:02.701,-5.28,103.16,24,3.0,Southern Sumatra - Indonesia
2023-01-01,07:28:12.784,-0.27,122.96,14,2.4,Minahassa Peninsula - Sulawesi
2023-01-01,04:20:09.775,-1.52,99.88,24,3.9,Southern Sumatra - Indonesia
2023-01-01,04:09:31.458,-4.93,102.79,20,4.0,Southern Sumatra - Indonesia
2023-01-01,02:58:10.659,-3.64,121.49,10,2.5,Sulawesi - Indonesia
2023-01-01,02:52:35.978,-3.7,121.52,10,2.6,Sulawesi - Indonesia
2023-01-01,02:51:18.031,-3.5,121.52,10,2.8,Sulawesi - Indonesia
2023-01-01,02:47:25.465,-1.42,100.47,54,3.2,Southern Sumatra - Indonesia
2023-01-01,02:44:57.972,-3.63,121.54,10,2.5,Sulawesi - Indonesia
2023-01-01,00:50:33.188,-2.71,128.54,10,3.8,Ceram Sea
2023-01-01,00:45:29.169,-0.04,123.66,87,2.6,Minahassa Peninsula - Sulawesi
2023-01-01,00:42:15.838,-0.67,124.44,10,2.8,Southern Molucca Sea
2023-01-02,23:55:20.881,-8.09,107.9,24,4.7,Java - Indonesia
2023-01-02,23:55:20.881,-8.09,107.9,24,4.7,Java - Indonesia
2023-01-02,23:27:29.767,-9.14,118.07,15,2.3,Sumbawa Region - Indonesia
2023-01-02,22:57:52.946,-2.57,140.83,12,2.6,Near North Coast of Irian Jaya
2023-01-02,22:39:59.797,-2.46,140.69,10,4.0,Near North Coast of Irian Jaya
2023-01-02,22:31:27.561,-2.39,140.77,10,2.9,Near North Coast of Irian Jaya
2023-01-02,22:19:43.773,-2.53,140.71,14,2.1,Near North Coast of Irian Jaya
2023-01-02,22:08:42.030,5.52,97.07,11,2.5,Northern Sumatra - Indonesia
2023-01-02,22:08:19.198,1.31,122.74,10,3.2,Minahassa Peninsula - Sulawesi
2023-01-02,22:07:18.381,-1.83,133.49,19,2.4,Irian Jaya Region - Indonesia
2023-01-02,22:04:47.899,-2.4,140.8,10,2.4,Near North Coast of Irian Jaya
2023-01-02,21:56:21.269,-2.43,140.71,10,2.6,Near North Coast of Irian Jaya
2023-01-02,21:55:39.938,5.4,96.98,11,2.3,Northern Sumatra - Indonesia
2023-01-02,21:53:56.033,-2.45,140.37,10,3.2,Near North Coast of Irian Jaya
2023-01-02,21:39:23.735,5.47,96.99,10,4.3,Northern Sumatra - Indonesia
2023-01-02,21:37:06.561,-2.41,140.75,10,2.8,Near North Coast of Irian Jaya
2023-01-02,21:34:26.490,-8.97,114.46,78,2.8,Bali Region - Indonesia
2023-01-02,21:32:52.936,-2.44,140.75,10,3.5,Near North Coast of Irian Jaya
2023-01-02,21:30:04.796,-6.73,106.13,87,2.7,Java - Indonesia
2023-01-02,21:05:36.265,3.66,127.11,32,4.2,Talaud Islands - Indonesia
2023-01-02,21:04:41.250,3.67,97.66,10,2.7,Northern Sumatra - Indonesia
2023-01-02,20:22:51.748,1.26,122.75,10,4.3,Minahassa Peninsula - Sulawesi
2023-01-02,20:21:45.606,-2.5,140.68,10,3.8,Near North Coast of Irian Jaya
2023-01-02,20:04:43.640,-2.42,140.75,10,2.3,Near North Coast of Irian Jaya
2023-01-02,19:54:43.074,-6.81,106.11,116,2.7,Java - Indonesia
2023-01-02,19:42:42.664,-2.5,140.77,10,2.4,Near North Coast of Irian Jaya
2023-01-02,19:34:50.542,-2.52,140.81,10,2.8,Near North Coast of Irian Jaya
2023-01-02,19:25:57.015,1.78,99.1,10,2.5,Northern Sumatra - Indonesia
2023-01-02,19:24:50.130,-2.42,140.72,10,2.0,Near North Coast of Irian Jaya
2023-01-02,19:14:29.374,-2.43,140.74,10,2.5,Near North Coast of Irian Jaya
2023-01-02,19:09:36.517,-2.41,140.74,10,2.7,Near North Coast of Irian Jaya
2023-01-02,19:06:39.546,-2.43,140.73,10,2.6,Near North Coast of Irian Jaya
2023-01-02,19:02:58.791,4.57,96.46,12,2.1,Northern Sumatra - Indonesia
2023-01-02,18:59:35.187,-2.88,128.5,16,2.4,Ceram Sea
2023-01-02,18:53:27.723,-2.3,140.78,10,2.8,Near North Coast of Irian Jaya
2023-01-02,18:42:08.773,3.18,127.36,23,3.5,Talaud Islands - Indonesia
2023-01-02,18:31:59.654,-2.41,140.78,10,1.8,Near North Coast of Irian Jaya
2023-01-02,18:23:10.830,-4.37,138.56,166,3.4,Irian Jaya - Indonesia
2023-01-02,18:21:18.398,-2.56,140.8,10,1.8,Near North Coast of Irian Jaya
2023-01-02,18:09:51.040,-8.75,118.72,10,2.3,Sumbawa Region - Indonesia
2023-01-02,18:06:59.053,-9.08,110.09,10,3.1,South of Java - Indonesia
2023-01-02,17:51:38.995,-8.48,118.18,127,2.5,Sumbawa Region - Indonesia
2023-01-02,17:51:37.680,-2.47,140.76,10,2.0,Near North Coast of Irian Jaya
2023-01-02,17:47:05.713,-5.09,103.82,63,2.7,Southern Sumatra - Indonesia
2023-01-02,17:38:23.540,-2.43,140.72,10,2.4,Near North Coast of Irian Jaya
2023-01-02,17:17:41.965,-2.21,140.9,10,2.4,Near North Coast of Irian Jaya
2023-01-02,16:58:44.781,1.25,122.72,11,2.9,Minahassa Peninsula - Sulawesi
2023-01-02,16:49:51.141,-8.65,112.61,101,4.1,Java - Indonesia
2023-01-02,16:35:55.613,-2.44,140.76,10,2.7,Near North Coast of Irian Jaya
2023-01-02,16:35:26.735,2.71,126.26,15,2.8,Northern Molucca Sea
2023-01-02,16:07:31.200,-7.23,125.33,493,4.7,Banda Sea
2023-01-02,15:59:21.110,-2.37,140.79,10,2.5,Near North Coast of Irian Jaya
2023-01-02,15:59:20.991,-8.88,111.96,107,2.9,Java - Indonesia
2023-01-02,15:42:34.136,-2.33,140.8,10,2.0,Near North Coast of Irian Jaya
2023-01-02,15:33:23.548,-6.8,107.11,10,1.7,Java - Indonesia
2023-01-02,15:30:40.778,5.43,96.99,10,2.3,Northern Sumatra - Indonesia
2023-01-02,15:29:01.994,-2.36,140.75,10,2.2,Near North Coast of Irian Jaya
2023-01-02,15:26:16.472,-2.36,140.79,10,2.0,Near North Coast of Irian Jaya
2023-01-02,15:17:08.028,-2.43,140.71,10,2.7,Near North Coast of Irian Jaya
2023-01-02,14:55:55.143,-2.43,140.78,10,2.2,Near North Coast of Irian Jaya
2023-01-02,14:47:18.335,-2.42,140.76,10,2.2,Near North Coast of Irian Jaya
2023-01-02,14:34:54.176,-2.42,140.77,10,1.7,Near North Coast of Irian Jaya
2023-01-02,14:29:47.245,-2.37,140.81,10,2.6,Near North Coast of Irian Jaya
2023-01-02,14:25:02.026,-2.35,140.8,10,3.6,Near North Coast of Irian Jaya
2023-01-02,14:24:15.461,-2.66,133.88,10,3.3,Irian Jaya Region - Indonesia
2023-01-02,14:20:02.644,0.45,121.21,79,3.1,Minahassa Peninsula - Sulawesi
